60M FEMININO ;;;;;;;;
# ;Marca ;Vv;Pto. ;Atleta ;Ano ;Equipo ;Data ;Lugar 
1;7.57  ;;2;REPARAZ SANCHEZ, AINHOA (05);2005;CAFPO;23/1/26;Ohio (USA)
2;7.96  ;;7;GOMEZ RAMOS, AFRICA (05);2005;OUROR;31/1/26;Ourense
3;8.07  ;;5;AMIGO MATO, NEREA (04);2004;CAPEX;11/1/26;Ourense
4;8.10  ;;2;CORTEGOSO FIGUEROA, NAYR (06);2006;CAFPO;25/1/26;Ourense
5;8.14  ;;6;LAYA RODRIGUEZ, DANIELA ANDREA (06);2006;RZCC;21/2/26;Ourense
6;8.34  ;;12;ALCALDE LOJO, ANTIA (06);2006;BARC;21/2/26;Ourense
7;8.35  ;;4;CASTRO NOVOA, DANIELA (06);2006;CAFPO;25/1/26;Ourense
8;8.38  ;;13;GARCIA REY, OLALLA (06);2006;OUROR;21/2/26;Ourense
9;8.67  ;;5;GIL RIVADULLA, EVA (05);2005;ESTPO;25/1/26;Ourense
10;9.04  ;;19;LAGO PIRES, NEREA (05);2005;ADCPO;4/1/26;Ourense
11;9.70  ;;6;PORTELA REY, CELIA (06);2006;ESTPO;25/1/26;Ourense
12;9.89  ;;45;BARRIO CABALEIRO, ANTíA (06);2006;ADCPO;4/1/26;Ourense
;;;;;;;;
200M FEMININO ;;;;;;;;
# ;Marca ;Vv;Pto. ;Atleta ;Ano ;Equipo ;Data ;Lugar 
1;25.94  ;;1;LAYA RODRIGUEZ, DANIELA ANDREA (06);2006;RZCC;25/1/26;Ourense
2;25.98  ;;2;GOMEZ RAMOS, AFRICA (05);2005;OUROR;25/1/26;Ourense
3;27.26  ;;11;CORTEGOSO FIGUEROA, NAYR (06);2006;CAFPO;11/1/26;Ourense
4;27.39  ;;20;CASTRO NOVOA, DANIELA (06);2006;CAFPO;14/2/26;Ourense
5;27.51  ;;13;SANCHEZ MARTINEZ, LUCIA (05);2005;SGPPO;11/1/26;Ourense
6;28.51  ;;10;GARCIA REY, OLALLA (06);2006;OUROR;21/2/26;Ourense
7;28.60  ;;4;RODRÍGUEZ PAZ, LAURA (04);2004;MARC;25/1/26;Ourense
8;28.83  ;;5;OURENS ANIDO, MARIA (04);2004;CASC;25/1/26;Ourense
9;29.09  ;;6;CALVO MARTINEZ, NEREA (06);2006;AVAPO;25/1/26;Ourense
10;29.95  ;;7;DIAZ FERNANDEZ, LOLA (06);2006;AVAPO;25/1/26;Ourense
;;;;;;;;
400M FEMININO ;;;;;;;;
# ;Marca ;Vv;Pto. ;Atleta ;Ano ;Equipo ;Data ;Lugar 
1;59.72  ;;8;SANCHEZ DEL VALLE VERGE, LUCIA (04);2004;SGPPO;14/2/26;Ourense
2;01:00.9;;11;CASTRO NOVOA, DANIELA (06);2006;CAFPO;14/2/26;Ourense
3;01:03.0;;13;OURENS ANIDO, MARIA (04);2004;CASC;14/2/26;Ourense
4;01:03.4;;10;HERMIDA ALVAREZ, CANDELA (06);2006;CAFPO;11/1/26;Ourense
5;01:04.7;;8;OUTEIRIÑO ALONSO, LUCIA (04);2004;PUROR;18/1/26;Ourense
6;01:04.8;;5;VAZQUEZ ALVAREZ, CANDELA (06);2006;CASC;11/1/26;Ourense
7;01:09.9;;3;AMOR CASTRO, SUSANA (06);2006;CASC;25/1/26;Ourense
8;01:10.2;;4;DIAZ FERNANDEZ, LOLA (06);2006;AVAPO;25/1/26;Ourense
;;;;;;;;
600M FEMININO ;;;;;;;;
# ;Marca ;Vv;Pto. ;Atleta ;Ano ;Equipo ;Data ;Lugar 
1;1.39.93  ;;3;YOUSEF MORENO, RANIA GABRIELA (06);2006;CAFPO;13/2/26;Nashville (USA)
;;;;;;;;
800M FEMININO ;;;;;;;;
# ;Marca ;Vv;Pto. ;Atleta ;Ano ;Equipo ;Data ;Lugar 
1;2.17.12  ;;4;ROJO PIÑEIRO, PILAR (06);2006;RZCC;17/1/26;Ourense
2;2.17.61  ;;2;SANTOS VILLALON, CAROLINA (05);2005;RIAC;18/2/26;Braga (POR)
3;2.18.83  ;;2;YOUSEF MORENO, RANIA GABRIELA (06);2006;CAFPO;13/2/26;Nashville (USA)
